ra,dec,z,zErr,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class
0.69576931,0.028381878,0.6188365,7.40E-05,0.2130144,0.8956,3.369384,9.121602,13.7628,GALAXY
0.58799525,0.36369882,3.050011,0.00016382,8.46532,19.47445,27.70847,31.6081,33.46855,QSO
0.62000213,0.23624985,0.5526007,9.59E-05,-0.6542821,0.7920045,4.368988,12.79552,22.09198,GALAXY
0.61774138,1.2120862,0.000183646,5.93E-05,0.1866298,0.6431324,3.238332,8.82298,15.53476,STAR
0.58842144,1.1068335,3.352837,0.001069671,1.412902,1.590543,2.840027,4.414967,5.132657,QSO
0.56216978,1.246129,0.6134546,0.00018858,-1.664551,0.5518526,2.335081,6.468128,9.893276,GALAXY
0.59667913,1.1394155,0.3447524,6.12E-05,0.05828608,2.090465,10.71004,18.78963,26.66718,GALAXY
0.58987823,1.19483,0.5244322,0.000141517,0.04453093,0.5757962,3.192451,7.395674,10.89745,GALAXY
0.56288274,1.2025622,0.2460907,3.08E-05,1.92128,6.853229,26.05165,42.74494,59.60001,GALAXY
0.56260851,0.91101059,0.6045333,8.94E-05,1.002177,1.79194,4.871629,10.0129,14.90176,GALAXY
0.61690464,1.0173986,0.9217274,0.000192018,10.15306,10.33843,12.19831,11.32287,12.19371,QSO
0.62384237,0.99328965,0.5786697,0.00016061,0.2287757,0.4308939,2.475512,6.555445,10.09165,GALAXY
0.56437552,0.82564838,0.6068473,0.00020631,1.638659,0.2074718,1.681127,5.214208,7.685876,GALAXY
0.67157318,1.1104223,2.343456,0.000393273,2.673649,5.232018,5.602031,5.064412,4.940028,QSO
0.58534619,0.91180946,0.6450095,0.000103759,1.117713,1.518025,4.483292,10.35445,14.69732,GALAXY
0.59720476,1.0170123,2.293616,0.000363797,2.167975,3.953245,3.755722,3.838631,3.989071,QSO
0.65946757,1.0230527,0.1135172,5.74E-05,0.2387662,1.998654,3.428333,4.496686,5.573395,GALAXY
0.67875823,1.0281312,0.5416176,0.00020697,0.6351807,0.4642124,2.15368,5.151797,7.292848,GALAXY
0.70570302,0.751234,0.08645479,2.61E-05,2.69983,9.524062,25.85056,42.17849,62.18991,GALAXY
0.73439067,0.7421057,6.71E-05,3.05E-05,0.3475246,0.1022081,0.5230261,6.635119,27.87087,STAR
0.72157089,0.56333176,0.5823397,0.000155822,1.776512,0.7583565,3.191967,7.403367,12.79028,GALAXY
0.64843705,0.20948663,0.300863,4.64E-05,1.523202,3.058247,14.63107,26.40538,39.80788,GALAXY
0.71666286,0.14961512,0.5512744,8.98E-05,-0.226968,0.7283615,3.728249,10.37209,17.17829,GALAXY
0.73409522,0.15180366,-0.000162288,5.00E-05,0.1444564,0.2485738,1.423266,11.75269,39.18858,STAR
0.60427544,0.41748346,0.5094227,0.000135873,1.118781,0.7147016,4.009731,10.433,17.8275,GALAXY
0.69366025,0.52730803,0.4586272,0.000116374,0.2117845,0.5980824,3.878741,8.666662,13.20077,GALAXY
0.76605054,0.57959211,2.887587,0.000783338,1.246871,1.608306,2.630918,3.029392,3.163689,QSO
0.7370234,0.32009145,0.5784875,0.000259527,0.5277477,0.3881129,2.018696,5.591188,10.24224,GALAXY
0.74466037,0.18722868,0.1945313,2.95E-05,1.538939,4.384424,16.44787,31.62419,51.48262,GALAXY
0.73480433,1.024359,0.5265387,0.000149055,-0.4938739,0.4124478,2.254067,5.320199,7.233078,GALAXY
0.72657377,0.93977702,0.3616053,6.08E-05,-0.5210657,2.171879,11.57969,20.68039,30.37437,GALAXY
0.70313831,1.0956889,0.6394107,0.00020846,-0.06483048,0.4935221,2.053064,6.204267,10.01744,GALAXY
0.77770996,0.91379345,0.0614904,0.000105347,0.1657845,1.027655,1.433313,1.582973,1.836222,GALAXY
0.75343293,0.77389703,0.5799738,0.000154935,-0.2934904,0.6652507,2.416607,6.298882,9.183523,GALAXY
0.76314985,1.1374242,0.6608344,0.000115315,0.9360673,1.612885,4.430599,9.55488,11.20596,GALAXY
0.67143731,1.3678342,-0.000432749,1.97E-05,10.25687,20.9125,27.88654,29.70418,28.16321,STAR
0.75997942,1.1560141,0.5255975,0.000124428,0.07524978,0.6375118,3.817135,9.078036,12.91336,GALAXY
0.75979645,1.3095531,-0.000608658,2.47E-05,10.67469,18.31483,25.80997,28.06821,27.68452,STAR
0.55530533,0.5061458,0.5050625,0.000140489,0.5926538,0.5797971,2.949239,7.242194,12.50296,GALAXY
0.65275826,0.64799935,2.681835,0.000374805,0.589445,1.048526,1.547384,2.053948,2.548466,QSO
0.59843516,0.59588604,0.528196,8.73E-05,0.5958772,0.925142,4.344502,10.06664,14.79856,GALAXY
