,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,HousePrice,Prediction
0,-0.12496038,-0.29132286,-0.042870767,-0.16069715,-0.2949336,0.021757875,-0.72682285,0.9365316,1.218,1.1859967
1,-0.8495683,1.0582688,-0.05743638,-0.16831604,0.023690019,-0.0383799,0.7881854,-0.72041667,0.821,1.0015825
2,-0.20438978,-1.79969,0.41494215,-0.07865006,-1.2312788,-0.047657438,-0.9894868,1.1902984,1.875,1.5335642
3,-0.045530982,1.4552076,0.0067672944,-0.3704175,-0.94105613,-0.03221715,0.9664217,-1.4369348,2.813,2.4621465
4,-1.0489361,-0.21193512,-0.33620498,-0.018383617,-0.18931742,0.004688829,0.3660469,0.23991673,0.576,0.65389895
5,0.33837777,-1.0058126,-0.22192462,0.2476716,0.10711793,-0.086903654,0.8022567,-1.208047,3.236,2.7830455
6,2.2780437,-1.4821391,0.26067132,-0.20832448,-1.1558386,-0.0824711,-1.0082486,0.95145905,2.5,3.7264483
7,0.3119013,-0.13254736,0.3919328,0.049856126,-0.30203384,0.012420228,1.6183912,-1.0338933,0.962,1.3316605
8,-0.8660896,-1.4027513,-0.3519256,0.33762187,-0.24434434,-0.07692914,1.0133259,-0.81993306,1.308,1.4319143
9,-0.7445097,1.0582688,-0.07892223,0.057341836,1.1588421,0.031352982,0.980493,-1.292636,0.824,1.5424222
10,-0.032292746,0.5819424,0.1307225,-0.09512221,-0.42451313,-0.044139232,0.95235044,-1.2578052,1.875,2.2451587
11,-0.34561524,1.1376566,-0.15966073,-0.2759807,-0.3499605,-0.037949163,-0.73620373,0.96638656,1.228,1.3811321
12,-1.0802842,0.026228124,-1.2586421,0.11755298,0.540233,-0.121763304,-0.72213244,0.61807907,5.00001,2.6945403
13,0.5737006,-1.3233635,3.07882,2.4602387,-0.22304359,-0.08488916,-0.8675357,1.5734366,2.85,2.0972378
14,-0.07640254,1.3758198,-0.30763713,-0.036039457,-0.010923689,-0.0485266,1.0039451,-1.4518622,3.328,2.8447528
15,-0.87810993,0.26439136,-0.95004255,-0.051521517,0.48875624,-0.08458591,-0.82532185,0.7225713,1.927,2.3312068
16,0.107926615,1.2964321,-0.018039795,-0.04718939,0.11688077,-0.055747934,-0.68929946,0.6280307,2.588,2.9693527
17,-0.5577447,0.18500362,-0.5352432,0.021992777,0.2553356,0.26579282,-0.8909879,0.84696686,1.403,0.96881115
18,3.327412,-0.21193512,0.7866822,-0.21834478,0.98488605,-0.018828368,-0.8769166,0.6031516,5.00001,4.724218
19,-0.85083914,1.1376566,-0.37110436,-0.091,-0.12985283,0.038536698,1.0086355,-1.3224909,1.122,1.2815408
20,0.29024357,0.5819424,0.35977107,-0.12799984,-0.6739093,-0.032539323,0.9288983,-1.4120557,3.179,2.723518
21,-1.4193418,-0.3707106,-0.4400142,0.17244677,-0.22393112,0.036360763,-0.72682285,1.1405402,0.683,0.95866
22,-0.36102456,0.18500362,-0.73927116,-0.27104372,1.0913898,-0.025565198,-0.8675357,0.85691845,1.464,2.0259845
23,-0.786872,1.5345954,-0.78837013,-0.428771,-0.8389901,0.104154065,-0.7643463,0.6678373,1.075,1.1606767
24,-0.05273258,0.18500362,-0.54973686,-0.37514886,-0.78307563,-0.012706531,0.9335887,-1.2428778,1.76,2.0723088
25,-0.9126352,-0.45009837,-0.92982846,-0.0036905813,0.49496895,0.08678983,-0.881607,0.7972086,1.5,1.4708285
26,-0.44617286,-1.0852003,-0.4802222,-0.034217265,1.5094168,0.055314377,-0.73620373,0.7972086,1.394,1.2936813
27,0.15219526,-1.4821391,-0.26738665,-0.55237395,-0.87271625,-0.04326358,-0.15928106,0.27474746,1.029,1.4068328
28,-0.25035292,1.8521463,-0.71351665,-0.06778982,0.13995658,-0.09162663,1.0039451,-1.4220073,4.714,3.22697
29,-0.9611931,-0.13254736,-0.78004444,-0.06994896,0.25977325,0.049262118,-0.8722261,0.6578857,1.745,1.614004
30,-0.12739621,-0.8470371,0.34048972,-0.083724275,-0.64639586,-0.00543677,0.53021187,-0.16810055,1.198,1.1258608
31,1.546393,-1.9584656,0.71435165,-0.21592608,0.50206923,0.025997242,-0.6986803,0.94648325,2.863,2.6506083
